"ctry_code";"nace2_code";"RCA_Gen";"RCA_AI";"Period"
"AB";"10";0;NA;"2004-2018"
"AB";"10.5";0;NA;"2004-2018"
"AB";"11";0;NA;"2004-2018"
"AB";"12";0;NA;"2004-2018"
"AB";"13";0;NA;"2004-2018"
"AB";"14";0;NA;"2004-2018"
"AB";"15";0;NA;"2004-2018"
"AB";"16";0;NA;"2004-2018"
"AB";"17";0;NA;"2004-2018"
"AB";"18.1";0;NA;"2004-2018"
"AB";"19";0;NA;"2004-2018"
"AB";"20.1";0;NA;"2004-2018"
"AB";"20.2";0;NA;"2004-2018"
"AB";"20.3";0;NA;"2004-2018"
"AB";"20.4";0;NA;"2004-2018"
"AB";"20.42";0;NA;"2004-2018"
"AB";"20.5";0;NA;"2004-2018"
"AB";"20.51";0;NA;"2004-2018"
"AB";"20.6";0;NA;"2004-2018"
"AB";"21";0;NA;"2004-2018"
"AB";"22";0;NA;"2004-2018"
"AB";"22.1";0;NA;"2004-2018"
"AB";"22.2";0;NA;"2004-2018"
"AB";"23";0;NA;"2004-2018"
"AB";"23.1";0;NA;"2004-2018"
"AB";"23.3";0;NA;"2004-2018"
"AB";"23.42";0;NA;"2004-2018"
"AB";"23.5";0;NA;"2004-2018"
"AB";"24";0;NA;"2004-2018"
"AB";"24.46";0;NA;"2004-2018"
"AB";"25.1";0;NA;"2004-2018"
"AB";"25.2";0;NA;"2004-2018"
"AB";"25.3";0;NA;"2004-2018"
"AB";"25.4";0;NA;"2004-2018"
"AB";"25.5";0;NA;"2004-2018"
"AB";"25.6";0;NA;"2004-2018"
"AB";"25.7";0;NA;"2004-2018"
"AB";"25.9";0;NA;"2004-2018"
"AB";"25.94";0;NA;"2004-2018"
"AB";"26.1";0;NA;"2004-2018"
"AB";"26.11";0;NA;"2004-2018"
"AB";"26.2";0;NA;"2004-2018"
"AB";"26.3";0;NA;"2004-2018"
"AB";"26.4";0;NA;"2004-2018"
"AB";"26.5";0;NA;"2004-2018"
"AB";"26.51";0;NA;"2004-2018"
"AB";"26.52";0;NA;"2004-2018"
"AB";"26.6";0;NA;"2004-2018"
"AB";"26.7";0;NA;"2004-2018"
"AB";"26.8";0;NA;"2004-2018"
"AB";"27.1";0;NA;"2004-2018"
"AB";"27.12";0;NA;"2004-2018"
"AB";"27.2";0;NA;"2004-2018"
"AB";"27.3";0;NA;"2004-2018"
"AB";"27.33";0;NA;"2004-2018"
"AB";"27.4";0;NA;"2004-2018"
"AB";"27.5";0;NA;"2004-2018"
"AB";"27.9";0;NA;"2004-2018"
"AB";"28.1";0;NA;"2004-2018"
"AB";"28.11";0;NA;"2004-2018"
"AB";"28.14";0;NA;"2004-2018"
"AB";"28.21";0;NA;"2004-2018"
"AB";"28.22";0;NA;"2004-2018"
"AB";"28.23";0;NA;"2004-2018"
"AB";"28.25";0;NA;"2004-2018"
"AB";"28.29";0;NA;"2004-2018"
"AB";"28.3";0;NA;"2004-2018"
"AB";"28.4";0;NA;"2004-2018"
"AB";"28.9";0;NA;"2004-2018"
"AB";"28.92";0;NA;"2004-2018"
"AB";"28.94";0;NA;"2004-2018"
"AB";"28.95";0;NA;"2004-2018"
"AB";"28.99";0;NA;"2004-2018"
"AB";"29.1";0;NA;"2004-2018"
"AB";"29.3";0;NA;"2004-2018"
"AB";"30";0;NA;"2004-2018"
"AB";"31";0;NA;"2004-2018"
"AB";"32";0;NA;"2004-2018"
"AB";"32.5";0;NA;"2004-2018"
"AB";"32.9";0;NA;"2004-2018"
"AB";"42.2";0;NA;"2004-2018"
"AB";"42.91";0;NA;"2004-2018"
"AB";"43";0;NA;"2004-2018"
"AB";"62";0;NA;"2004-2018"
"AD";"10";1,58254243609817;NA;"2004-2018"
"AD";"10.5";0;NA;"2004-2018"
"AD";"11";0;NA;"2004-2018"
"AD";"12";0;NA;"2004-2018"
"AD";"13";0;NA;"2004-2018"
"AD";"14";0;NA;"2004-2018"
"AD";"15";0;NA;"2004-2018"
"AD";"16";0;NA;"2004-2018"
"AD";"17";0;NA;"2004-2018"
"AD";"18.1";0;NA;"2004-2018"
"AD";"19";0;NA;"2004-2018"
"AD";"20.1";0,351134195783037;NA;"2004-2018"
"AD";"20.2";0;NA;"2004-2018"
"AD";"20.3";0;NA;"2004-2018"
"AD";"20.4";4,41748194565096;NA;"2004-2018"
"AD";"20.42";0;NA;"2004-2018"
"AD";"20.5";0;NA;"2004-2018"
"AD";"20.51";0;NA;"2004-2018"
"AD";"20.6";0;NA;"2004-2018"
"AD";"21";0,838828412505226;NA;"2004-2018"
"AD";"22";0;NA;"2004-2018"
