"";"1";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"2";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"3";"30";"31";"32";"33";"34";"35";"4";"5";"6";"7";"8";"9"
"1";26242833;1105050;36467;460300;170587;113955;20807;10445;533998;13709;443392;1119478;1469546;724137;219144;419139;145875;237008;327159;460192;142474;432784;362362;386632;400546;915437;146905;128408;278714;143077;202650;445672;189070;1432517;832079
"10";1105050;24682955;1084761;1050741;563614;204173;409432;106582;77728;22386;201039;563726;174826;157456;173075;524854;184676;244039;229919;330778;114862;238130;613474;135633;274385;662630;82825;127036;366014;325019;169190;1223744;160542;686541;615023
"11";36467;1084761;3525353;34621;131313;253957;1242197;563632;30836;30137;52245;8619;26056;18887;27249;149002;37931;12659;7065;16227;13331;91847;16588;7282;7332;10983;3331;6630;36342;8870;1162;111402;16033;12597;15757
"12";460300;1050741;34621;8999453;164516;8290;6446;22004;7817;10141;23760;438005;38608;22339;3116;76178;72363;304054;176239;119692;64315;145060;454421;131213;126129;612923;219052;145379;230550;479100;71090;1314660;735780;73831;123855
"13";170587;563614;131313;164516;10467208;97468;155323;563556;179377;44737;152775;198152;100743;153392;27220;325463;213020;217590;74190;94111;127019;252392;86787;92050;71485;88497;261890;209610;43541;46635;15821;492137;120184;50575;349238
"14";113955;204173;253957;8290;97468;15116843;1152360;4615828;854888;337538;2235446;47780;231642;104417;31400;1755442;130941;15050;32237;13592;121893;105799;4913;13022;8727;7206;9877;61408;8633;4488;2653;32031;3834;365327;252442
"15";20807;409432;1242197;6446;155323;1152360;10401074;2707298;181385;1089819;541154;6197;35052;22737;33307;221998;260273;11041;36376;11044;50116;273218;2593;6068;5164;3185;1754;20616;10697;3065;992;93726;7143;9801;17505
"16";10445;106582;563632;22004;563556;4615828;2707298;13025114;316366;896097;390863;4455;67891;24447;56329;152120;17747;15281;8564;7183;22389;160764;2314;2210;3323;3009;11232;18056;1797;1814;290;20856;3661;3727;11026
"17";533998;77728;30836;7817;179377;854888;181385;316366;10676610;93923;1944663;240044;362392;579773;46352;527703;125750;125085;56172;24044;488151;2274295;6304;11193;125667;157364;37219;102186;119196;1398;869;11786;1054;379736;640378
"18";13709;22386;30137;10141;44737;337538;1089819;896097;93923;7317728;265045;1573;21057;15419;2554;153172;47742;85630;14007;2876;16674;531516;725;19936;5232;2287;52233;39290;2513;458;190;7036;4409;1018;1250
"19";443392;201039;52245;23760;152775;2235446;541154;390863;1944663;265045;15422287;356341;685512;733594;101637;1108478;494356;87337;184865;88232;601362;1012771;9616;146983;126105;59265;42519;179676;364466;1428;1584;31035;2739;703190;591978
"2";1119478;563726;8619;438005;198152;47780;6197;4455;240044;1573;356341;14335959;199276;506317;30510;68765;45202;147285;248275;31077;296926;232699;993581;90727;115040;239762;99615;210021;88928;798019;300865;2073525;166538;1132716;1778205
"20";1469546;174826;26056;38608;100743;231642;35052;67891;362392;21057;685512;199276;16386118;1158401;438789;1165654;675668;57671;922532;232388;145835;662971;24974;463218;200267;71269;19752;51377;386575;895;7543;39318;5415;384304;204091
"21";724137;157456;18887;22339;153392;104417;22737;24447;579773;15419;733594;506317;1158401;9278629;112480;555537;145430;295880;425365;135681;373035;890035;21894;90091;209204;139276;62699;239564;262458;1899;8101;55552;1756;1171768;496639
"22";219144;173075;27249;3116;27220;31400;33307;56329;46352;2554;101637;30510;438789;112480;1324026;133465;21055;5819;16226;12957;36658;36419;10691;4051;9998;3684;315;4544;1693;584;6949;12485;156;184721;90594
