"";"MORc(Top4_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"AI_pat";100;100;2;11,5;1,83333333333333
"AR";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"AT";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"AU";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"AZ";0;0;1;74;1,54054054054054
"BA";2,17794298825995;2,17794298825995;1;52;1,75
"BB";0;0;1;74;1,54054054054054
"BE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"BG";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"BO";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"BR";2,17794298825995;2,17794298825995;1;52;1,75
"BU";46,4903301460315;46,4903301460315;2;46;1,6036036036036
"CA";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"CH";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"CI";0;0;1;74;1,54054054054054
"CL";47,5793016401615;47,5793016401615;2;35;1,70833333333333
"CM";0;0;1;74;1,54054054054054
"CN";0;0;1;74;1,54054054054054
"CO";2,17794298825995;2,17794298825995;1;52;1,75
"CR";0;0;1;74;1,54054054054054
"CS";0;0;1;74;1,54054054054054
"CU";2,17794298825995;2,17794298825995;1;52;1,75
"CY";46,4903301460315;46,4903301460315;2;46;1,6036036036036
"CZ";0;0;1;74;1,54054054054054
"DD";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"DE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"DK";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"EG";46,4903301460315;46,4903301460315;2;46;1,6036036036036
"ES";2,17794298825995;2,17794298825995;1;52;1,75
"ET";92,980660292063;92,980660292063;1;18;1,66666666666667
"FI";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"FR";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"GB";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"GR";100;100;2;11,5;1,83333333333333
"GT";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"HK";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"HU";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"ID";0;0;1;74;1,54054054054054
"IE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"IL";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"IN";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"IR";0;0;1;74;1,54054054054054
"IS";0;0;1;74;1,54054054054054
"IT";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"JA";0;0;1;74;1,54054054054054
"JM";47,5793016401615;47,5793016401615;2;35;1,70833333333333
"JP";100;100;2;11,5;1,83333333333333
"KE";0;0;1;74;1,54054054054054
"KP";92,980660292063;92,980660292063;1;18;1,66666666666667
"KR";47,5793016401615;47,5793016401615;2;35;1,70833333333333
"KW";92,980660292063;92,980660292063;1;18;1,66666666666667
"KY";0;0;1;74;1,54054054054054
"LB";0;0;1;74;1,54054054054054
"LI";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"LK";92,980660292063;92,980660292063;1;18;1,66666666666667
"LU";0;0;1;74;1,54054054054054
"MA";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"MC";0;0;1;74;1,54054054054054
"MG";92,980660292063;92,980660292063;1;18;1,66666666666667
"MN";2,17794298825995;2,17794298825995;1;52;1,75
"MU";0;0;1;74;1,54054054054054
"MX";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"MY";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"NG";0;0;1;74;1,54054054054054
"NL";0;0;1;74;1,54054054054054
"NO";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"NZ";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"PA";0;0;1;74;1,54054054054054
"PE";0;0;1;74;1,54054054054054
"PH";0;0;1;74;1,54054054054054
"PK";2,17794298825995;2,17794298825995;1;52;1,75
"PL";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"PR";0;0;1;74;1,54054054054054
"PT";0;0;1;74;1,54054054054054
"PY";2,17794298825995;2,17794298825995;1;52;1,75
"RO";0;0;1;74;1,54054054054054
"RU";53,5096698539685;53,5096698539685;2;39,5;1,77027027027027
"SA";0;0;1;74;1,54054054054054
"SC";2,17794298825995;2,17794298825995;1;52;1,75
"SE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"SG";53,5096698539685;53,5096698539685;2;39,5;1,77027027027027
"SK";0;0;1;74;1,54054054054054
"SN";47,5793016401615;47,5793016401615;2;35;1,70833333333333
"ST";0;0;1;74;1,54054054054054
"SU";0;0;1;74;1,54054054054054
"SV";0;0;1;74;1,54054054054054
"SY";92,980660292063;92,980660292063;1;18;1,66666666666667
"TH";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"TN";0;0;1;74;1,54054054054054
"TR";0;0;1;74;1,54054054054054
"TW";2,17794298825995;2,17794298825995;1;52;1,75
"TZ";2,17794298825995;2,17794298825995;1;52;1,75
"US";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"VE";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"VN";46,4903301460315;46,4903301460315;2;46;1,6036036036036
"WS";47,5793016401615;47,5793016401615;2;35;1,70833333333333
"YU";1,08897149412997;1,08897149412997;2;63;1,64527027027027
"ZA";2,17794298825995;2,17794298825995;1;52;1,75
"ZR";2,17794298825995;2,17794298825995;1;52;1,75
"ZW";0;0;1;74;1,54054054054054
