"";"MORc(Top4_3rd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"AE";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"AF";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"AG";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"AI";100;100;1;59;1,94915254237288
"AI_pat";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"AL";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"AM";0;0;1;124;1,78225806451613
"AN";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"AO";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"AP";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"AR";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"AT";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"AU";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"AW";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"AZ";53,230679015375;53,230679015375;1;97;2,15463917525773
"BA";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"BB";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"BC";0;0;1;124;1,78225806451613
"BD";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"BE";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"BF";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"BG";0;0;1;124;1,78225806451613
"BH";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"BJ";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"BM";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"BN";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"BO";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"BR";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"BS";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"BW";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"BY";100;100;1;59;1,94915254237288
"BZ";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"CA";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"CD";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"CG";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"CH";100;100;1;59;1,94915254237288
"CI";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"CL";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"CM";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"CN";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"CO";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"CR";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"CS";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"CT";53,230679015375;53,230679015375;1;97;2,15463917525773
"CU";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"CV";0;0;1;124;1,78225806451613
"CW";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"CY";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"CZ";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"DD";50;50;2;91,5;1,86570530344451
"DE";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"DJ";100;100;1;59;1,94915254237288
"DK";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"DM";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"DO";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"DZ";50;50;2;91,5;1,86570530344451
"EC";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"EE";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"EG";0;0;1;124;1,78225806451613
"EP";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"ES";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"ET";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"FI";0;0;1;124;1,78225806451613
"FJ";50;50;2;91,5;1,86570530344451
"FL";50;50;2;91,5;1,86570530344451
"FO";50;50;2;91,5;1,86570530344451
"FR";50;50;2;91,5;1,86570530344451
"GA";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"GB";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"GD";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"GE";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"GF";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"GH";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"GI";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"GL";0;0;1;124;1,78225806451613
"GM";0;0;1;124;1,78225806451613
"GN";0;0;1;124;1,78225806451613
"GQ";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"GR";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"GT";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"HA";0;0;1;124;1,78225806451613
"HK";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"HN";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"HR";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"HT";100;100;1;59;1,94915254237288
"HU";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"ID";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"IE";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"IL";0;0;1;124;1,78225806451613
"IM";0;0;1;124;1,78225806451613
"IN";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"IO";0;0;1;124;1,78225806451613
"IQ";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"IR";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"IS";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"IT";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"JE";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"JM";26,5883324611174;26,5883324611174;3;114,333333333333;1,9980914296514
"JO";0;0;1;124;1,78225806451613
"JP";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"KE";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"KG";100;100;1;59;1,94915254237288
"KH";53,230679015375;53,230679015375;1;97;2,15463917525773
"KI";0;0;1;124;1,78225806451613
"KN";53,230679015375;53,230679015375;1;97;2,15463917525773
"KP";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"KR";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"KW";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"KY";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"KZ";100;100;1;59;1,94915254237288
"LA";100;100;1;59;1,94915254237288
"LB";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"LI";100;100;1;59;1,94915254237288
"LK";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"LR";0;0;1;124;1,78225806451613
"LT";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"LU";59,9216657944508;59,9216657944508;3;92,6666666666667;2,05372292227031
"LV";100;100;1;59;1,94915254237288
"LY";50;50;2;91,5;1,86570530344451
"MA";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"MC";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"MD";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"ME";50;50;2;91,5;1,86570530344451
"MG";76,6153395076875;76,6153395076875;2;78;2,05189585881531
"MH";13,2671591839886;13,2671591839886;2;123;1,91981755684823
"MI";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"MK";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"ML";53,230679015375;53,230679015375;1;97;2,15463917525773
"MM";0;0;1;124;1,78225806451613
"MN";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"MO";26,6153395076875;26,6153395076875;2;110,5;1,96844861988693
"MQ";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"MT";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"MU";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"MW";26,5343183679773;26,5343183679773;1;122;2,05737704918033
"MX";39,8824986916761;39,8824986916761;2;109,5;2,10600811221903
"MY";0;0;1;124;1,78225806451613
"MZ";26,5343183679773;26,5343183679773;1;122;2,05737704918033
