"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AT";"1";0,681019598253656;NA;"1976"
"AU";"1";0,447973068831225;NA;"1976"
"BA";"1";0;NA;"1976"
"BE";"1";0,394127088296035;NA;"1976"
"BG";"1";0,646996842346628;NA;"1976"
"BR";"1";0,598405476554507;NA;"1976"
"CA";"1";0,771947924881177;NA;"1976"
"CH";"1";0,686244812562508;NA;"1976"
"CS";"1";1,590840247304;NA;"1976"
"DD";"1";1,06056016486933;NA;"1976"
"DE";"1";0,909514175857204;NA;"1976"
"DK";"1";0,781295463922003;NA;"1976"
"ES";"1";0,598264708387827;NA;"1976"
"FI";"1";0,564264174779329;NA;"1976"
"FR";"1";0,701016001353091;NA;"1976"
"GB";"1";0,565795376639296;NA;"1976"
"HK";"1";2,12112032973866;NA;"1976"
"HU";"1";0,684665422890327;NA;"1976"
"IE";"1";3,33318908958932;NA;"1976"
"IL";"1";0,412961480126111;NA;"1976"
"IN";"1";0,832005338641676;NA;"1976"
"IT";"1";0,54019627275624;NA;"1976"
"JP";"1";1,15262241179439;NA;"1976"
"KR";"1";0,586976695022019;NA;"1976"
"LI";"1";0,16203002518837;NA;"1976"
"LU";"1";0,897397062581741;NA;"1976"
"MA";"1";3,88872060452088;NA;"1976"
"MC";"1";1,94436030226044;NA;"1976"
"MX";"1";0,231013105219062;NA;"1976"
"NL";"1";1,1787054682097;NA;"1976"
"NO";"1";0,432080067168986;NA;"1976"
"NZ";"1";0,345664053735189;NA;"1976"
"PA";"1";3,88872060452088;NA;"1976"
"PL";"1";1,01119219571811;NA;"1976"
"RO";"1";0,852235846769998;NA;"1976"
"RU";"1";1,21522518891277;NA;"1976"
"SC";"1";0,530280082434665;NA;"1976"
"SE";"1";0,643680921981196;NA;"1976"
"SG";"1";11,6661618135626;NA;"1976"
"ST";"1";1,55548824180835;NA;"1976"
"SU";"1";1,84488140307502;NA;"1976"
"TT";"1";0;NA;"1976"
"TW";"1";1,428509609824;NA;"1976"
"US";"1";0,778238784353465;NA;"1976"
"YU";"1";1,45827022669533;NA;"1976"
"ZA";"1";0,571772333080886;NA;"1976"
"UY";"1";0;NA;"1976"
"TR";"1";0;NA;"1976"
"ET";"1";0;NA;"1976"
"GR";"1";0;NA;"1976"
"CZ";"1";0;NA;"1976"
"IR";"1";0;NA;"1976"
"JA";"1";0;NA;"1976"
"KE";"1";0;NA;"1976"
"VE";"1";0;NA;"1976"
"ZW";"1";0;NA;"1976"
"CN";"1";0;NA;"1976"
"AR";"1";0;NA;"1976"
"CO";"1";0;NA;"1976"
"CU";"1";0;NA;"1976"
"KN";"1";0;NA;"1976"
"JM";"1";0;NA;"1976"
"PT";"1";0;NA;"1976"
"CM";"1";0;NA;"1976"
"CL";"1";0;NA;"1976"
"JO";"1";0;NA;"1976"
"PH";"1";0;NA;"1976"
"SA";"1";0;NA;"1976"
"TD";"1";0;NA;"1976"
"PE";"1";0;NA;"1976"
"BM";"1";0;NA;"1976"
